start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 14:59:57.091932,2021-10-10 14:59:57.125957,1d,"neg_count, neu_count, pos_count + end_price, trend",1,5,211,180,31,0.4193548387096774,"[[5 4 1]
 [4 5 0]
 [2 7 3]]","{'neg': {'precision': 0.45454545454545453, 'recall': 0.5, 'f1-score': 0.47619047619047616, 'support': 10}, 'neu': {'precision': 0.3125, 'recall': 0.5555555555555556, 'f1-score': 0.39999999999999997, 'support': 9}, 'pos': {'precision': 0.75, 'recall': 0.25, 'f1-score': 0.375, 'support': 12}, 'accuracy': 0.41935483870967744, 'macro avg': {'precision': 0.5056818181818182, 'recall': 0.4351851851851852, 'f1-score': 0.4170634920634921, 'support': 31}, 'weighted avg': {'precision': 0.5276759530791789, 'recall': 0.41935483870967744, 'f1-score': 0.414900153609831, 'support': 31}}"
2021-10-10 14:59:57.166933,2021-10-10 14:59:57.207940,12h,"neg_count, neu_count, pos_count + end_price, trend",1,5,423,362,61,0.4098360655737705,"[[ 3 10  5]
 [ 3 16  3]
 [ 3 12  6]]","{'neg': {'precision': 0.3333333333333333, 'recall': 0.16666666666666666, 'f1-score': 0.2222222222222222, 'support': 18}, 'neu': {'precision': 0.42105263157894735, 'recall': 0.7272727272727273, 'f1-score': 0.5333333333333333, 'support': 22}, 'pos': {'precision': 0.42857142857142855, 'recall': 0.2857142857142857, 'f1-score': 0.34285714285714286, 'support': 21}, 'accuracy': 0.4098360655737705, 'macro avg': {'precision': 0.3943191311612364, 'recall': 0.3932178932178932, 'f1-score': 0.36613756613756615, 'support': 61}, 'weighted avg': {'precision': 0.39775668679896464, 'recall': 0.4098360655737705, 'f1-score': 0.37595628415300547, 'support': 61}}"
2021-10-10 14:59:57.233712,2021-10-10 14:59:57.433512,4h,"neg_count, neu_count, pos_count + end_price, trend",1,5,1271,1089,182,0.4340659340659341,"[[13 32  7]
 [ 8 49 18]
 [ 4 34 17]]","{'neg': {'precision': 0.52, 'recall': 0.25, 'f1-score': 0.33766233766233766, 'support': 52}, 'neu': {'precision': 0.4260869565217391, 'recall': 0.6533333333333333, 'f1-score': 0.5157894736842105, 'support': 75}, 'pos': {'precision': 0.40476190476190477, 'recall': 0.3090909090909091, 'f1-score': 0.3505154639175258, 'support': 55}, 'accuracy': 0.4340659340659341, 'macro avg': {'precision': 0.4502829537612147, 'recall': 0.40414141414141413, 'f1-score': 0.4013224250880247, 'support': 182}, 'weighted avg': {'precision': 0.44647487088480875, 'recall': 0.4340659340659341, 'f1-score': 0.41495056373747946, 'support': 182}}"
2021-10-10 14:59:57.468056,2021-10-10 15:00:00.134834,1h,"neg_count, neu_count, pos_count + end_price, trend",1,5,5080,4354,726,0.3829201101928374,"[[ 53 125  33]
 [ 54 173  25]
 [ 80 131  52]]","{'neg': {'precision': 0.28342245989304815, 'recall': 0.25118483412322273, 'f1-score': 0.2663316582914573, 'support': 211}, 'neu': {'precision': 0.40326340326340326, 'recall': 0.6865079365079365, 'f1-score': 0.5080763582966227, 'support': 252}, 'pos': {'precision': 0.4727272727272727, 'recall': 0.19771863117870722, 'f1-score': 0.27882037533512066, 'support': 263}, 'accuracy': 0.38292011019283745, 'macro avg': {'precision': 0.3864710452945747, 'recall': 0.3784704672699555, 'f1-score': 0.35107613064106685, 'support': 726}, 'weighted avg': {'precision': 0.3935975060428148, 'recall': 0.38292011019283745, 'f1-score': 0.35476719132697404, 'support': 726}}"
2021-10-10 15:00:00.181892,2021-10-10 15:00:10.297370,30m,"neg_count, neu_count, pos_count + end_price, trend",1,5,10157,8706,1451,0.388697450034459,"[[100 155 181]
 [ 98 254 184]
 [ 95 174 210]]","{'neg': {'precision': 0.3412969283276451, 'recall': 0.22935779816513763, 'f1-score': 0.27434842249657065, 'support': 436}, 'neu': {'precision': 0.43567753001715265, 'recall': 0.47388059701492535, 'f1-score': 0.453976764968722, 'support': 536}, 'pos': {'precision': 0.3652173913043478, 'recall': 0.4384133611691023, 'f1-score': 0.3984819734345351, 'support': 479}, 'accuracy': 0.388697450034459, 'macro avg': {'precision': 0.38073061654971524, 'recall': 0.38055058544972176, 'f1-score': 0.37560238696660925, 'support': 1451}, 'weighted avg': {'precision': 0.384057716936478, 'recall': 0.388697450034459, 'f1-score': 0.3816818218517451, 'support': 1451}}"
2021-10-10 15:00:10.345370,2021-10-10 15:00:47.086284,15m,"neg_count, neu_count, pos_count + end_price, trend",1,5,20312,17410,2902,0.3914541695382494,"[[249 412 272]
 [235 599 214]
 [255 378 288]]","{'neg': {'precision': 0.33694181326116374, 'recall': 0.26688102893890675, 'f1-score': 0.29784688995215314, 'support': 933}, 'neu': {'precision': 0.4312455003599712, 'recall': 0.5715648854961832, 'f1-score': 0.4915880180549857, 'support': 1048}, 'pos': {'precision': 0.37209302325581395, 'recall': 0.3127035830618892, 'f1-score': 0.3398230088495575, 'support': 921}, 'accuracy': 0.39145416953824946, 'macro avg': {'precision': 0.3800934456256497, 'recall': 0.3837164991656597, 'f1-score': 0.37641930561889875, 'support': 2902}, 'weighted avg': {'precision': 0.38215357359356317, 'recall': 0.39145416953824946, 'f1-score': 0.3811345218461152, 'support': 2902}}"
2021-10-10 15:00:47.133172,2021-10-10 15:06:03.756349,5m,"neg_count, neu_count, pos_count + end_price, trend",1,5,60936,52230,8706,0.3498736503560762,"[[ 926 1101  719]
 [ 979 1322  793]
 [ 982 1086  798]]","{'neg': {'precision': 0.3207481815032906, 'recall': 0.3372177713037145, 'f1-score': 0.3287768507012249, 'support': 2746}, 'neu': {'precision': 0.3767455115417498, 'recall': 0.42727860374919197, 'f1-score': 0.4004240496743904, 'support': 3094}, 'pos': {'precision': 0.34545454545454546, 'recall': 0.2784368457780879, 'f1-score': 0.3083462132921175, 'support': 2866}, 'accuracy': 0.34987365035607626, 'macro avg': {'precision': 0.3476494128331953, 'recall': 0.34764440694366483, 'f1-score': 0.34584903788924426, 'support': 8706}, 'weighted avg': {'precision': 0.3487822015151547, 'recall': 0.34987365035607626, 'f1-score': 0.34751361004058534, 'support': 8706}}"
2021-10-10 15:06:03.818882,2021-10-10 15:06:03.850131,1d,"neg_count, neu_count, pos_count + end_price, trend",2,10,210,180,30,0.5666666666666667,"[[6 1 1]
 [3 5 2]
 [2 4 6]]","{'neg': {'precision': 0.5454545454545454, 'recall': 0.75, 'f1-score': 0.631578947368421, 'support': 8}, 'neu': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 10}, 'pos': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285715, 'support': 12}, 'accuracy': 0.5666666666666667, 'macro avg': {'precision': 0.5707070707070706, 'recall': 0.5833333333333334, 'f1-score': 0.5676691729323308, 'support': 30}, 'weighted avg': {'precision': 0.5787878787878787, 'recall': 0.5666666666666667, 'f1-score': 0.5636591478696741, 'support': 30}}"
2021-10-10 15:06:03.881384,2021-10-10 15:06:03.936859,12h,"neg_count, neu_count, pos_count + end_price, trend",2,10,422,361,61,0.4262295081967213,"[[ 7 13  2]
 [ 4 13  4]
 [ 1 11  6]]","{'neg': {'precision': 0.5833333333333334, 'recall': 0.3181818181818182, 'f1-score': 0.4117647058823529, 'support': 22}, 'neu': {'precision': 0.35135135135135137, 'recall': 0.6190476190476191, 'f1-score': 0.4482758620689656, 'support': 21}, 'pos': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 18}, 'accuracy': 0.4262295081967213, 'macro avg': {'precision': 0.47822822822822825, 'recall': 0.42352092352092346, 'f1-score': 0.4200135226504395, 'support': 61}, 'weighted avg': {'precision': 0.4788805198641265, 'recall': 0.4262295081967213, 'f1-score': 0.420862567751804, 'support': 61}}"
2021-10-10 15:06:03.980892,2021-10-10 15:06:04.150495,4h,"neg_count, neu_count, pos_count + end_price, trend",2,10,1270,1088,182,0.6153846153846154,"[[29 21  7]
 [12 44 18]
 [ 1 11 39]]","{'neg': {'precision': 0.6904761904761905, 'recall': 0.5087719298245614, 'f1-score': 0.5858585858585859, 'support': 57}, 'neu': {'precision': 0.5789473684210527, 'recall': 0.5945945945945946, 'f1-score': 0.5866666666666667, 'support': 74}, 'pos': {'precision': 0.609375, 'recall': 0.7647058823529411, 'f1-score': 0.6782608695652174, 'support': 51}, 'accuracy': 0.6153846153846154, 'macro avg': {'precision': 0.626266186299081, 'recall': 0.6226908022573657, 'f1-score': 0.61692870736349, 'support': 182}, 'weighted avg': {'precision': 0.6224031490126415, 'recall': 0.6153846153846154, 'f1-score': 0.6120800938192242, 'support': 182}}"
2021-10-10 15:06:04.190853,2021-10-10 15:06:06.606785,1h,"neg_count, neu_count, pos_count + end_price, trend",2,10,5075,4350,725,0.6662068965517242,"[[188  31   4]
 [ 51  93 117]
 [  1  38 202]]","{'neg': {'precision': 0.7833333333333333, 'recall': 0.8430493273542601, 'f1-score': 0.8120950323974081, 'support': 223}, 'neu': {'precision': 0.5740740740740741, 'recall': 0.3563218390804598, 'f1-score': 0.4397163120567376, 'support': 261}, 'pos': {'precision': 0.6253869969040248, 'recall': 0.8381742738589212, 'f1-score': 0.7163120567375887, 'support': 241}, 'accuracy': 0.6662068965517242, 'macro avg': {'precision': 0.6609314681038106, 'recall': 0.6791818134312138, 'f1-score': 0.6560411337305782, 'support': 725}, 'weighted avg': {'precision': 0.6554964592007402, 'recall': 0.6662068965517242, 'f1-score': 0.6461991108209508, 'support': 725}}"
2021-10-10 15:06:06.651790,2021-10-10 15:06:16.708931,30m,"neg_count, neu_count, pos_count + end_price, trend",2,10,10152,8701,1451,0.6457615437629222,"[[419   1  13]
 [228  44 269]
 [  1   2 474]]","{'neg': {'precision': 0.6466049382716049, 'recall': 0.9676674364896074, 'f1-score': 0.7752081406105458, 'support': 433}, 'neu': {'precision': 0.9361702127659575, 'recall': 0.08133086876155268, 'f1-score': 0.14965986394557823, 'support': 541}, 'pos': {'precision': 0.626984126984127, 'recall': 0.9937106918238994, 'f1-score': 0.7688564476885645, 'support': 477}, 'accuracy': 0.6457615437629222, 'macro avg': {'precision': 0.7365864260072298, 'recall': 0.6809029990250197, 'f1-score': 0.5645748174148961, 'support': 1451}, 'weighted avg': {'precision': 0.7481181612332299, 'recall': 0.6457615437629222, 'f1-score': 0.5398867242083869, 'support': 1451}}"
2021-10-10 15:06:16.740192,2021-10-10 15:06:54.652410,15m,"neg_count, neu_count, pos_count + end_price, trend",2,10,20307,17406,2901,0.6870044812133747,"[[927   5   2]
 [406 143 471]
 [ 19   5 923]]","{'neg': {'precision': 0.6856508875739645, 'recall': 0.9925053533190579, 'f1-score': 0.8110236220472441, 'support': 934}, 'neu': {'precision': 0.934640522875817, 'recall': 0.14019607843137255, 'f1-score': 0.24381926683716965, 'support': 1020}, 'pos': {'precision': 0.6611747851002865, 'recall': 0.9746568109820486, 'f1-score': 0.7878787878787878, 'support': 947}, 'accuracy': 0.6870044812133747, 'macro avg': {'precision': 0.7604887318500227, 'recall': 0.702452747577493, 'f1-score': 0.6142405589210672, 'support': 2901}, 'weighted avg': {'precision': 0.7652064060039254, 'recall': 0.6870044812133747, 'f1-score': 0.6040375481858845, 'support': 2901}}"
2021-10-10 15:06:54.699286,2021-10-10 15:12:47.530300,5m,"neg_count, neu_count, pos_count + end_price, trend",2,10,60931,52226,8705,0.6822515795519816,"[[2722   91    3]
 [1294  497 1263]
 [  21   94 2720]]","{'neg': {'precision': 0.6742630666336389, 'recall': 0.9666193181818182, 'f1-score': 0.7943966146213337, 'support': 2816}, 'neu': {'precision': 0.7287390029325513, 'recall': 0.1627373935821873, 'f1-score': 0.26605995717344755, 'support': 3054}, 'pos': {'precision': 0.6823883592574009, 'recall': 0.9594356261022927, 'f1-score': 0.7975370180325466, 'support': 2835}, 'accuracy': 0.6822515795519816, 'macro avg': {'precision': 0.695130142941197, 'recall': 0.6962641126220994, 'f1-score': 0.6193311966091093, 'support': 8705}, 'weighted avg': {'precision': 0.6960212187353326, 'recall': 0.6822515795519816, 'f1-score': 0.610061507421442, 'support': 8705}}"
2021-10-10 15:12:47.592806,2021-10-10 15:12:47.624051,1d,"neg_count, neu_count, pos_count + end_price, trend",3,15,209,179,30,0.4,"[[3 2 3]
 [1 4 5]
 [1 6 5]]","{'neg': {'precision': 0.6, 'recall': 0.375, 'f1-score': 0.4615384615384615, 'support': 8}, 'neu': {'precision': 0.3333333333333333, 'recall': 0.4, 'f1-score': 0.3636363636363636, 'support': 10}, 'pos': {'precision': 0.38461538461538464, 'recall': 0.4166666666666667, 'f1-score': 0.4, 'support': 12}, 'accuracy': 0.4, 'macro avg': {'precision': 0.4393162393162393, 'recall': 0.3972222222222222, 'f1-score': 0.4083916083916084, 'support': 30}, 'weighted avg': {'precision': 0.424957264957265, 'recall': 0.4, 'f1-score': 0.4042890442890443, 'support': 30}}"
2021-10-10 15:12:47.670931,2021-10-10 15:12:47.702176,12h,"neg_count, neu_count, pos_count + end_price, trend",3,15,421,360,61,0.3934426229508196,"[[ 7  9  4]
 [ 4 10  8]
 [ 5  7  7]]","{'neg': {'precision': 0.4375, 'recall': 0.35, 'f1-score': 0.38888888888888884, 'support': 20}, 'neu': {'precision': 0.38461538461538464, 'recall': 0.45454545454545453, 'f1-score': 0.41666666666666663, 'support': 22}, 'pos': {'precision': 0.3684210526315789, 'recall': 0.3684210526315789, 'f1-score': 0.3684210526315789, 'support': 19}, 'accuracy': 0.39344262295081966, 'macro avg': {'precision': 0.3968454790823212, 'recall': 0.39098883572567783, 'f1-score': 0.39132553606237813, 'support': 61}, 'weighted avg': {'precision': 0.3969104665825977, 'recall': 0.39344262295081966, 'f1-score': 0.3925318761384335, 'support': 61}}"
2021-10-10 15:12:47.762593,2021-10-10 15:12:47.943860,4h,"neg_count, neu_count, pos_count + end_price, trend",3,15,1269,1087,182,0.5164835164835165,"[[25 22  6]
 [11 38 17]
 [ 4 28 31]]","{'neg': {'precision': 0.625, 'recall': 0.4716981132075472, 'f1-score': 0.5376344086021505, 'support': 53}, 'neu': {'precision': 0.4318181818181818, 'recall': 0.5757575757575758, 'f1-score': 0.49350649350649356, 'support': 66}, 'pos': {'precision': 0.5740740740740741, 'recall': 0.49206349206349204, 'f1-score': 0.5299145299145299, 'support': 63}, 'accuracy': 0.5164835164835165, 'macro avg': {'precision': 0.5436307519640854, 'recall': 0.5131730603428717, 'f1-score': 0.5203518106743913, 'support': 182}, 'weighted avg': {'precision': 0.5373168498168498, 'recall': 0.5164835164835165, 'f1-score': 0.518959712153615, 'support': 182}}"
2021-10-10 15:12:47.983253,2021-10-10 15:12:50.512568,1h,"neg_count, neu_count, pos_count + end_price, trend",3,15,5070,4345,725,0.64,"[[158  54  11]
 [ 64 114  80]
 [  9  43 192]]","{'neg': {'precision': 0.683982683982684, 'recall': 0.7085201793721974, 'f1-score': 0.696035242290749, 'support': 223}, 'neu': {'precision': 0.5402843601895735, 'recall': 0.4418604651162791, 'f1-score': 0.4861407249466951, 'support': 258}, 'pos': {'precision': 0.6784452296819788, 'recall': 0.7868852459016393, 'f1-score': 0.7286527514231499, 'support': 244}, 'accuracy': 0.64, 'macro avg': {'precision': 0.6342374246180787, 'recall': 0.6457552967967053, 'f1-score': 0.636942906220198, 'support': 725}, 'weighted avg': {'precision': 0.6309822613785536, 'recall': 0.64, 'f1-score': 0.6323192240197695, 'support': 725}}"
2021-10-10 15:12:50.559450,2021-10-10 15:13:01.609233,30m,"neg_count, neu_count, pos_count + end_price, trend",3,15,10147,8697,1450,0.6531034482758621,"[[423   5  29]
 [203  86 252]
 [  8   6 438]]","{'neg': {'precision': 0.667192429022082, 'recall': 0.925601750547046, 'f1-score': 0.7754353803849678, 'support': 457}, 'neu': {'precision': 0.8865979381443299, 'recall': 0.1589648798521257, 'f1-score': 0.26959247648902823, 'support': 541}, 'pos': {'precision': 0.6091794158553546, 'recall': 0.9690265486725663, 'f1-score': 0.7480785653287788, 'support': 452}, 'accuracy': 0.6531034482758621, 'macro avg': {'precision': 0.7209899276739221, 'recall': 0.6845310596905794, 'f1-score': 0.5977021407342583, 'support': 1450}, 'weighted avg': {'precision': 0.7309693245281339, 'recall': 0.6531034482758621, 'f1-score': 0.578175869065588, 'support': 1450}}"
2021-10-10 15:13:01.656118,2021-10-10 15:13:41.892761,15m,"neg_count, neu_count, pos_count + end_price, trend",3,15,20302,17401,2901,0.6852809376077215,"[[861  46  39]
 [366 243 402]
 [ 18  42 884]]","{'neg': {'precision': 0.691566265060241, 'recall': 0.9101479915433404, 'f1-score': 0.7859424920127795, 'support': 946}, 'neu': {'precision': 0.7341389728096677, 'recall': 0.2403560830860534, 'f1-score': 0.3621460506706409, 'support': 1011}, 'pos': {'precision': 0.6671698113207547, 'recall': 0.9364406779661016, 'f1-score': 0.7791978845306302, 'support': 944}, 'accuracy': 0.6852809376077215, 'macro avg': {'precision': 0.6976250163968878, 'recall': 0.695648250865165, 'f1-score': 0.6424288090713502, 'support': 2901}, 'weighted avg': {'precision': 0.6984641468956755, 'recall': 0.6852809376077215, 'f1-score': 0.6360544838569535, 'support': 2901}}"
2021-10-10 15:13:41.939650,2021-10-10 15:20:48.339120,5m,"neg_count, neu_count, pos_count + end_price, trend",3,15,60926,52222,8704,0.6857766544117647,"[[2666  112   48]
 [1215  650 1198]
 [  58  104 2653]]","{'neg': {'precision': 0.6768215283066769, 'recall': 0.943382873319179, 'f1-score': 0.7881744271988175, 'support': 2826}, 'neu': {'precision': 0.7505773672055427, 'recall': 0.21221025138752855, 'f1-score': 0.3308729956731993, 'support': 3063}, 'pos': {'precision': 0.6804308797127468, 'recall': 0.9424511545293073, 'f1-score': 0.7902889484658921, 'support': 2815}, 'accuracy': 0.6857766544117647, 'macro avg': {'precision': 0.7026099250749889, 'recall': 0.6993480930786715, 'f1-score': 0.6364454571126362, 'support': 8704}, 'weighted avg': {'precision': 0.7039440534394104, 'recall': 0.6857766544117647, 'f1-score': 0.6279306418821639, 'support': 8704}}"
2021-10-10 15:20:48.386012,2021-10-10 15:20:48.431674,1d,"neg_count, neu_count, pos_count + end_price, trend",4,20,208,178,30,0.4,"[[5 4 1]
 [1 6 3]
 [4 5 1]]","{'neg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 10}, 'neu': {'precision': 0.4, 'recall': 0.6, 'f1-score': 0.48, 'support': 10}, 'pos': {'precision': 0.2, 'recall': 0.1, 'f1-score': 0.13333333333333333, 'support': 10}, 'accuracy': 0.4, 'macro avg': {'precision': 0.3666666666666667, 'recall': 0.4000000000000001, 'f1-score': 0.3711111111111111, 'support': 30}, 'weighted avg': {'precision': 0.36666666666666664, 'recall': 0.4, 'f1-score': 0.37111111111111117, 'support': 30}}"
2021-10-10 15:20:48.463775,2021-10-10 15:20:48.512196,12h,"neg_count, neu_count, pos_count + end_price, trend",4,20,420,360,60,0.55,"[[ 9  4  1]
 [ 6 14  8]
 [ 4  4 10]]","{'neg': {'precision': 0.47368421052631576, 'recall': 0.6428571428571429, 'f1-score': 0.5454545454545454, 'support': 14}, 'neu': {'precision': 0.6363636363636364, 'recall': 0.5, 'f1-score': 0.56, 'support': 28}, 'pos': {'precision': 0.5263157894736842, 'recall': 0.5555555555555556, 'f1-score': 0.5405405405405405, 'support': 18}, 'accuracy': 0.55, 'macro avg': {'precision': 0.5454545454545454, 'recall': 0.5661375661375662, 'f1-score': 0.5486650286650286, 'support': 60}, 'weighted avg': {'precision': 0.5653907496012759, 'recall': 0.55, 'f1-score': 0.5507682227682228, 'support': 60}}"
2021-10-10 15:20:48.561116,2021-10-10 15:20:48.742891,4h,"neg_count, neu_count, pos_count + end_price, trend",4,20,1268,1086,182,0.5824175824175825,"[[29 15 10]
 [12 46 16]
 [ 2 21 31]]","{'neg': {'precision': 0.6744186046511628, 'recall': 0.5370370370370371, 'f1-score': 0.597938144329897, 'support': 54}, 'neu': {'precision': 0.5609756097560976, 'recall': 0.6216216216216216, 'f1-score': 0.5897435897435899, 'support': 74}, 'pos': {'precision': 0.543859649122807, 'recall': 0.5740740740740741, 'f1-score': 0.5585585585585585, 'support': 54}, 'accuracy': 0.5824175824175825, 'macro avg': {'precision': 0.593084621176689, 'recall': 0.5775775775775776, 'f1-score': 0.5820800975440151, 'support': 182}, 'weighted avg': {'precision': 0.5895561583832175, 'recall': 0.5824175824175825, 'f1-score': 0.5829222395439684, 'support': 182}}"
2021-10-10 15:20:48.777718,2021-10-10 15:20:51.391211,1h,"neg_count, neu_count, pos_count + end_price, trend",4,20,5065,4341,724,0.6256906077348067,"[[155  51  18]
 [ 49 122  99]
 [  6  48 176]]","{'neg': {'precision': 0.7380952380952381, 'recall': 0.6919642857142857, 'f1-score': 0.7142857142857143, 'support': 224}, 'neu': {'precision': 0.5520361990950227, 'recall': 0.45185185185185184, 'f1-score': 0.49694501018329934, 'support': 270}, 'pos': {'precision': 0.6006825938566553, 'recall': 0.7652173913043478, 'f1-score': 0.6730401529636711, 'support': 230}, 'accuracy': 0.6256906077348067, 'macro avg': {'precision': 0.6302713436823054, 'recall': 0.6363445096234951, 'f1-score': 0.6280902924775617, 'support': 724}, 'weighted avg': {'precision': 0.6250553918177074, 'recall': 0.6256906077348067, 'f1-score': 0.6201303700706288, 'support': 724}}"
2021-10-10 15:20:51.448563,2021-10-10 15:21:02.278103,30m,"neg_count, neu_count, pos_count + end_price, trend",4,20,10142,8693,1449,0.6445824706694272,"[[390  18  36]
 [198 111 231]
 [ 11  21 433]]","{'neg': {'precision': 0.6510851419031719, 'recall': 0.8783783783783784, 'f1-score': 0.74784276126558, 'support': 444}, 'neu': {'precision': 0.74, 'recall': 0.20555555555555555, 'f1-score': 0.32173913043478264, 'support': 540}, 'pos': {'precision': 0.6185714285714285, 'recall': 0.9311827956989247, 'f1-score': 0.7433476394849785, 'support': 465}, 'accuracy': 0.6445824706694272, 'macro avg': {'precision': 0.6698855234915335, 'recall': 0.6717055765442863, 'f1-score': 0.6043098437284471, 'support': 1449}, 'weighted avg': {'precision': 0.67378710648083, 'recall': 0.6445824706694272, 'f1-score': 0.5876038432002865, 'support': 1449}}"
2021-10-10 15:21:02.324991,2021-10-10 15:21:43.613821,15m,"neg_count, neu_count, pos_count + end_price, trend",4,20,20297,17397,2900,0.6648275862068965,"[[825  45  47]
 [411 236 396]
 [ 39  34 867]]","{'neg': {'precision': 0.6470588235294118, 'recall': 0.8996728462377317, 'f1-score': 0.7527372262773724, 'support': 917}, 'neu': {'precision': 0.7492063492063492, 'recall': 0.22627037392138064, 'f1-score': 0.3475699558173785, 'support': 1043}, 'pos': {'precision': 0.6618320610687023, 'recall': 0.9223404255319149, 'f1-score': 0.7706666666666666, 'support': 940}, 'accuracy': 0.6648275862068965, 'macro avg': {'precision': 0.6860324112681543, 'recall': 0.6827612152303425, 'f1-score': 0.6236579495871392, 'support': 2900}, 'weighted avg': {'precision': 0.6885852761390596, 'recall': 0.6648275862068965, 'f1-score': 0.6128283334760493, 'support': 2900}}"
2021-10-10 15:21:43.660707,2021-10-10 15:29:45.065883,5m,"neg_count, neu_count, pos_count + end_price, trend",4,20,60921,52218,8703,0.6594277835229231,"[[2538  136  108]
 [1254  606 1237]
 [  95  134 2595]]","{'neg': {'precision': 0.652945716490867, 'recall': 0.9122933141624731, 'f1-score': 0.7611336032388665, 'support': 2782}, 'neu': {'precision': 0.6917808219178082, 'recall': 0.19567323216015498, 'f1-score': 0.305059149257488, 'support': 3097}, 'pos': {'precision': 0.6586294416243654, 'recall': 0.9189093484419264, 'f1-score': 0.767297457125961, 'support': 2824}, 'accuracy': 0.6594277835229231, 'macro avg': {'precision': 0.6677853266776802, 'recall': 0.6756252982548515, 'f1-score': 0.6111634032074386, 'support': 8703}, 'weighted avg': {'precision': 0.6686096440197923, 'recall': 0.6594277835229231, 'f1-score': 0.6008376293674228, 'support': 8703}}"
2021-10-10 15:29:45.125348,2021-10-10 15:29:45.172251,1d,"neg_count, neu_count, pos_count + end_price, trend",5,25,207,177,30,0.3,"[[0 1 8]
 [3 5 5]
 [1 3 4]]","{'neg': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9}, 'neu': {'precision': 0.5555555555555556, 'recall': 0.38461538461538464, 'f1-score': 0.4545454545454546, 'support': 13}, 'pos': {'precision': 0.23529411764705882, 'recall': 0.5, 'f1-score': 0.31999999999999995, 'support': 8}, 'accuracy': 0.3, 'macro avg': {'precision': 0.26361655773420484, 'recall': 0.2948717948717949, 'f1-score': 0.2581818181818182, 'support': 30}, 'weighted avg': {'precision': 0.30348583877995644, 'recall': 0.3, 'f1-score': 0.2823030303030303, 'support': 30}}"
2021-10-10 15:29:45.203517,2021-10-10 15:29:45.263907,12h,"neg_count, neu_count, pos_count + end_price, trend",5,25,419,359,60,0.5,"[[10 10  2]
 [ 5 10  6]
 [ 1  6 10]]","{'neg': {'precision': 0.625, 'recall': 0.45454545454545453, 'f1-score': 0.5263157894736842, 'support': 22}, 'neu': {'precision': 0.38461538461538464, 'recall': 0.47619047619047616, 'f1-score': 0.42553191489361697, 'support': 21}, 'pos': {'precision': 0.5555555555555556, 'recall': 0.5882352941176471, 'f1-score': 0.5714285714285715, 'support': 17}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5217236467236467, 'recall': 0.5063237416178592, 'f1-score': 0.5077587585986242, 'support': 60}, 'weighted avg': {'precision': 0.5211894586894588, 'recall': 0.5, 'f1-score': 0.5038233882578786, 'support': 60}}"
2021-10-10 15:29:45.306907,2021-10-10 15:29:45.491548,4h,"neg_count, neu_count, pos_count + end_price, trend",5,25,1267,1086,181,0.4640883977900552,"[[19 18  5]
 [27 31 13]
 [10 24 34]]","{'neg': {'precision': 0.3392857142857143, 'recall': 0.4523809523809524, 'f1-score': 0.3877551020408163, 'support': 42}, 'neu': {'precision': 0.4246575342465753, 'recall': 0.43661971830985913, 'f1-score': 0.4305555555555555, 'support': 71}, 'pos': {'precision': 0.6538461538461539, 'recall': 0.5, 'f1-score': 0.5666666666666668, 'support': 68}, 'accuracy': 0.46408839779005523, 'macro avg': {'precision': 0.47259646745948114, 'recall': 0.4630002235636039, 'f1-score': 0.46165910808767957, 'support': 181}, 'weighted avg': {'precision': 0.4909515104588138, 'recall': 0.46408839779005523, 'f1-score': 0.4717596246601772, 'support': 181}}"
2021-10-10 15:29:45.538466,2021-10-10 15:29:48.331940,1h,"neg_count, neu_count, pos_count + end_price, trend",5,25,5060,4337,723,0.6113416320885201,"[[139  63  30]
 [ 43 128  75]
 [ 16  54 175]]","{'neg': {'precision': 0.702020202020202, 'recall': 0.5991379310344828, 'f1-score': 0.6465116279069768, 'support': 232}, 'neu': {'precision': 0.5224489795918368, 'recall': 0.5203252032520326, 'f1-score': 0.5213849287169042, 'support': 246}, 'pos': {'precision': 0.625, 'recall': 0.7142857142857143, 'f1-score': 0.6666666666666666, 'support': 245}, 'accuracy': 0.6113416320885201, 'macro avg': {'precision': 0.616489727204013, 'recall': 0.6112496161907433, 'f1-score': 0.6115210744301826, 'support': 723}, 'weighted avg': {'precision': 0.6148217646587535, 'recall': 0.6113416320885201, 'f1-score': 0.6107672523818954, 'support': 723}}"
