start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 14:59:59.899405,2021-10-10 14:59:59.935405,1d,"neg_count, neu_count, pos_count + end_price, trend",1,5,211,180,31,0.3870967741935484,"[[2 3 2]
 [3 4 6]
 [1 4 6]]","{'neg': {'precision': 0.3333333333333333, 'recall': 0.2857142857142857, 'f1-score': 0.30769230769230765, 'support': 7}, 'neu': {'precision': 0.36363636363636365, 'recall': 0.3076923076923077, 'f1-score': 0.33333333333333337, 'support': 13}, 'pos': {'precision': 0.42857142857142855, 'recall': 0.5454545454545454, 'f1-score': 0.4799999999999999, 'support': 11}, 'accuracy': 0.3870967741935484, 'macro avg': {'precision': 0.3751803751803752, 'recall': 0.37962037962037964, 'f1-score': 0.37367521367521367, 'support': 31}, 'weighted avg': {'precision': 0.37983521854489594, 'recall': 0.3870967741935484, 'f1-score': 0.37958643507030604, 'support': 31}}"
2021-10-10 14:59:59.968068,2021-10-10 15:00:00.019723,12h,"neg_count, neu_count, pos_count + end_price, trend",1,5,423,362,61,0.3442622950819672,"[[ 4  4  8]
 [ 7  8 15]
 [ 2  4  9]]","{'neg': {'precision': 0.3076923076923077, 'recall': 0.25, 'f1-score': 0.27586206896551724, 'support': 16}, 'neu': {'precision': 0.5, 'recall': 0.26666666666666666, 'f1-score': 0.3478260869565218, 'support': 30}, 'pos': {'precision': 0.28125, 'recall': 0.6, 'f1-score': 0.3829787234042553, 'support': 15}, 'accuracy': 0.3442622950819672, 'macro avg': {'precision': 0.3629807692307692, 'recall': 0.37222222222222223, 'f1-score': 0.3355556264420982, 'support': 61}, 'weighted avg': {'precision': 0.3957676544766709, 'recall': 0.3442622950819672, 'f1-score': 0.3375943698886518, 'support': 61}}"
2021-10-10 15:00:00.050416,2021-10-10 15:00:00.234283,4h,"neg_count, neu_count, pos_count + end_price, trend",1,5,1271,1089,182,0.3516483516483517,"[[ 9 14 17]
 [23 25 48]
 [ 8  8 30]]","{'neg': {'precision': 0.225, 'recall': 0.225, 'f1-score': 0.225, 'support': 40}, 'neu': {'precision': 0.5319148936170213, 'recall': 0.2604166666666667, 'f1-score': 0.34965034965034963, 'support': 96}, 'pos': {'precision': 0.3157894736842105, 'recall': 0.6521739130434783, 'f1-score': 0.425531914893617, 'support': 46}, 'accuracy': 0.3516483516483517, 'macro avg': {'precision': 0.3575681224337439, 'recall': 0.3791968599033817, 'f1-score': 0.3333940881813222, 'support': 182}, 'weighted avg': {'precision': 0.4098359647071853, 'recall': 0.3516483516483517, 'f1-score': 0.3414335255579118, 'support': 182}}"
2021-10-10 15:00:00.442087,2021-10-10 15:00:03.143156,1h,"neg_count, neu_count, pos_count + end_price, trend",1,5,5080,4354,726,0.3168044077134986,"[[ 58  42  63]
 [136  95 135]
 [ 72  48  77]]","{'neg': {'precision': 0.21804511278195488, 'recall': 0.3558282208588957, 'f1-score': 0.2703962703962704, 'support': 163}, 'neu': {'precision': 0.5135135135135135, 'recall': 0.25956284153005466, 'f1-score': 0.3448275862068966, 'support': 366}, 'pos': {'precision': 0.28, 'recall': 0.39086294416243655, 'f1-score': 0.326271186440678, 'support': 197}, 'accuracy': 0.3168044077134986, 'macro avg': {'precision': 0.3371862087651561, 'recall': 0.33541800218379564, 'f1-score': 0.31383168101461495, 'support': 726}, 'weighted avg': {'precision': 0.38381170706529555, 'recall': 0.3168044077134986, 'f1-score': 0.3230811464946691, 'support': 726}}"
2021-10-10 15:00:03.174419,2021-10-10 15:00:13.520121,30m,"neg_count, neu_count, pos_count + end_price, trend",1,5,10157,8706,1451,0.3232253618194349,"[[ 34  73 237]
 [ 64 166 506]
 [ 40  62 269]]","{'neg': {'precision': 0.2463768115942029, 'recall': 0.09883720930232558, 'f1-score': 0.14107883817427386, 'support': 344}, 'neu': {'precision': 0.5514950166112956, 'recall': 0.22554347826086957, 'f1-score': 0.32015429122468664, 'support': 736}, 'pos': {'precision': 0.2658102766798419, 'recall': 0.7250673854447439, 'f1-score': 0.38900939985538685, 'support': 371}, 'accuracy': 0.3232253618194349, 'macro avg': {'precision': 0.35456070162844683, 'recall': 0.34981602433597975, 'f1-score': 0.2834141764181158, 'support': 1451}, 'weighted avg': {'precision': 0.4061127278170508, 'recall': 0.3232253618194349, 'f1-score': 0.2953047319225831, 'support': 1451}}"
2021-10-10 15:00:13.567009,2021-10-10 15:00:53.498420,15m,"neg_count, neu_count, pos_count + end_price, trend",1,5,20312,17410,2902,0.2856650585802894,"[[370 156 185]
 [828 276 334]
 [446 124 183]]","{'neg': {'precision': 0.22506082725060828, 'recall': 0.5203938115330521, 'f1-score': 0.3142250530785563, 'support': 711}, 'neu': {'precision': 0.49640287769784175, 'recall': 0.19193324061196107, 'f1-score': 0.2768304914744233, 'support': 1438}, 'pos': {'precision': 0.2606837606837607, 'recall': 0.24302788844621515, 'f1-score': 0.2515463917525773, 'support': 753}, 'accuracy': 0.28566505858028945, 'macro avg': {'precision': 0.3273824885440702, 'recall': 0.3184516468637428, 'f1-score': 0.2808673121018523, 'support': 2902}, 'weighted avg': {'precision': 0.36875963407979, 'recall': 0.28566505858028945, 'f1-score': 0.2794316652201119, 'support': 2902}}"
2021-10-10 15:00:53.552738,2021-10-10 15:06:37.610993,5m,"neg_count, neu_count, pos_count + end_price, trend",1,5,60936,52230,8706,0.3264415345738571,"[[ 943  566  714]
 [1898 1036 1287]
 [ 933  466  863]]","{'neg': {'precision': 0.24986751457339693, 'recall': 0.42420152946468737, 'f1-score': 0.3144905786226446, 'support': 2223}, 'neu': {'precision': 0.5009671179883946, 'recall': 0.24543946932006633, 'f1-score': 0.3294641437430434, 'support': 4221}, 'pos': {'precision': 0.3013268156424581, 'recall': 0.38152077807250223, 'f1-score': 0.3367147873585642, 'support': 2262}, 'accuracy': 0.3264415345738571, 'macro avg': {'precision': 0.35072048273474987, 'recall': 0.3503872589524186, 'f1-score': 0.32688983657475074, 'support': 8706}, 'weighted avg': {'precision': 0.38498035227531757, 'recall': 0.3264415345738571, 'f1-score': 0.32752464461550623, 'support': 8706}}"
2021-10-10 15:06:37.673503,2021-10-10 15:06:37.704747,1d,"neg_count, neu_count, pos_count + end_price, trend",2,10,210,180,30,0.3,"[[ 1  0  6]
 [ 2  0 10]
 [ 0  3  8]]","{'neg': {'precision': 0.3333333333333333, 'recall': 0.14285714285714285, 'f1-score': 0.2, 'support': 7}, 'neu': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 12}, 'pos': {'precision': 0.3333333333333333, 'recall': 0.7272727272727273, 'f1-score': 0.4571428571428572, 'support': 11}, 'accuracy': 0.3, 'macro avg': {'precision': 0.2222222222222222, 'recall': 0.29004329004329005, 'f1-score': 0.21904761904761907, 'support': 30}, 'weighted avg': {'precision': 0.2, 'recall': 0.3, 'f1-score': 0.21428571428571433, 'support': 30}}"
2021-10-10 15:06:37.751626,2021-10-10 15:06:37.782872,12h,"neg_count, neu_count, pos_count + end_price, trend",2,10,422,361,61,0.4262295081967213,"[[ 9  1  6]
 [ 3  4 23]
 [ 1  1 13]]","{'neg': {'precision': 0.6923076923076923, 'recall': 0.5625, 'f1-score': 0.6206896551724138, 'support': 16}, 'neu': {'precision': 0.6666666666666666, 'recall': 0.13333333333333333, 'f1-score': 0.2222222222222222, 'support': 30}, 'pos': {'precision': 0.30952380952380953, 'recall': 0.8666666666666667, 'f1-score': 0.45614035087719296, 'support': 15}, 'accuracy': 0.4262295081967213, 'macro avg': {'precision': 0.5561660561660562, 'recall': 0.5208333333333334, 'f1-score': 0.433017409423943, 'support': 61}, 'weighted avg': {'precision': 0.5855701675373807, 'recall': 0.4262295081967213, 'f1-score': 0.38425912151775704, 'support': 61}}"
2021-10-10 15:06:37.841029,2021-10-10 15:06:38.007969,4h,"neg_count, neu_count, pos_count + end_price, trend",2,10,1270,1088,182,0.5274725274725275,"[[32  2  6]
 [46 20 30]
 [ 0  2 44]]","{'neg': {'precision': 0.41025641025641024, 'recall': 0.8, 'f1-score': 0.5423728813559321, 'support': 40}, 'neu': {'precision': 0.8333333333333334, 'recall': 0.20833333333333334, 'f1-score': 0.33333333333333337, 'support': 96}, 'pos': {'precision': 0.55, 'recall': 0.9565217391304348, 'f1-score': 0.6984126984126985, 'support': 46}, 'accuracy': 0.5274725274725275, 'macro avg': {'precision': 0.5978632478632478, 'recall': 0.654951690821256, 'f1-score': 0.5247063043673214, 'support': 182}, 'weighted avg': {'precision': 0.6687376725838264, 'recall': 0.5274725274725275, 'f1-score': 0.47154889769901875, 'support': 182}}"
